,Yr,Mo,Da,Time,Group_Size,Latitude,Longitude,lunar_deg,Tidal_phase,ID
0,2016,9,24,14.5,3,"21°28'8"" N","157°49'14"" W",102.8571429,93.02970293,0
1,2018,2,3,8,1,"21°28'20"" N","157°49'10"" W",38.57142857,89.56521734,1
2,2018,4,1,10.5,1,"21°28'28"" N ","157°49'12"" W",12.85714286,218.4324324,2
3,2018,4,29,7,1,"21°28'6"" N ","157°49'6"" W",0,152.238806,3
4,2018,9,2,7.25,3,"21°28'27"" N","157°49'12"" W",90,324.0733198,4
5,2018,9,19,7,1,"21°28'37"" N","157°49'34"" W",308.5714286,236.4785553,5
6,2018,10,2,7.25,2,"21°28'17"" N","157°49'9"" W",102.8571429,307.3003802,6
7,2018,10,4,10.25,8,"21°28'36"" N","157°49'22"" W",128.5714286,326.743649,7
8,2018,10,6,9.5,2,"21°28'31"" N","157°49'17"" W",154.2857143,268.3550914,8
9,2018,10,13,7,1,"21°28'25"" N","157°49'12"" W",244.2857143,42.17391307,9
10,2018,12,1,12.25,3,"21°28'49"" N","157°49'34"" W",115.7142857,56.1247216,10
11,2019,1,12,9.25,1,"21°28'39"" N","157°49'27"" W",270,73.37579618,11
12,2019,1,20,17.15,9,"21°28'41"" N","157°49'29"" W",0,107.29927,12
13,2019,1,21,7.75,1,"21°28'38"" N","157°49'18"" W",12.85714286,119.2771085,13
14,2019,6,14,6.5,2,"21°28'41"" N","157°49'31"" W",347.1428571,184.5833333,14
15,2019,9,25,7,6,"21°28'35"" N","157°49'23"" W",154.2857143,215.5662651,15
16,2019,9,27,7.25,4,"21°28'38"" N","157°49'33"" W",180,178.5751979,16
17,2019,9,28,8.5,3,"21°28'50"" N","157°49'34"" W",192.8571429,192.892562,17
18,2019,10,7,8.25,1,"21°28'48"" N","157°49'28"" W",308.5714286,283.876652,18
19,2019,10,19,9.25,3,"21°28'43"" N","157°49'31"" W",77.14285714,28.19277108,19
20,2019,12,9,7.25,2,"21°28'51"" N","157°49'38"" W",347.1428571,169.5514512,20
21,2020,4,5,7.3,9,"21°28'40"" N","157°49'27"" W",347.1428571,174.2534381,21
22,2020,4,6,7.25,1,"21°28'39"" N","157°49'26"" W",360,162,22
23,2020,4,8,10.3,2,"21°28'41"" N","157°49'30"" W",12.85714286,222.0159151,23
24,2020,4,10,7.3,1,"21°28'52"" N","157°49'39"" W",38.57142857,112.3902439,24
25,2020,4,11,9.5,5,"21°29'2"" N","157°49'45"" W",51.42857143,156.8149882,25
26,2020,4,21,7.25,6,"21°28'29"" N","157°49'13"" W",180,166.4661654,26
27,2020,5,9,7,0,,,25.71428571,122.280285,27
28,2020,5,14,7,0,,,90,231.7808219,28
29,2020,5,15,6.75,1,"21°28'54"" N","157°49'37"" W",102.8571429,210.096463,29
30,2020,5,24,9.75,2,"21°28'47"" N","157°49'33"" W",218.5714286,204.5814978,30
31,2020,5,25,10.3,1,"21°28'59"" N","157°49'21"" W",231.4285714,203.8972163,31
32,2020,5,26,6.75,0,,,244.2857143,109.0566038,32
33,2020,5,30,6.75,1,"21°28'48"" N","157°49'33"" W",295.7142857,250.6930693,33
34,2020,6,2,7,0,,,334.2857143,205.5256724,34
35,2020,6,3,7.25,0,,,347.1428571,197.914692,35
36,2020,6,5,7,0,,,0,163.4433962,36
37,2020,6,9,7.5,0,,,51.42857143,117.1428571,37
38,2020,6,17,6.5,0,,,154.2857143,195.1363636,38
39,2020,6,20,7.416666667,1,"21°29'5"" N","157°49'43"" W",192.8571429,181.6035635,39
40,2020,6,22,6.75,0,,,218.5714286,135.7308585,40
41,2020,6,27,7.5,1,"21°28'53"" N","157°49'41"" W",282.8571429,353.028169,41
42,2020,7,2,7.5,8,"21°28'53"" N","157°49'39"" W",347.1428571,214.2477876,42
43,2020,7,2,17.56666667,1,"21°28'41"" N","157°49'40"" W",347.1428571,102.4880383,43
44,2020,7,3,6.966666667,1,"21°28'54"" N","157°49'37"" W",360,185.9734513,44
45,2020,7,3,6.966666667,1,"21°28'33"" N","157°49'21"" W",360,185.9734513,45
46,2020,7,3,6.966666667,1,"21°28'30"" N","157°49'18"" W",360,185.9734513,46
47,2020,7,3,6.966666667,6,"21°28'26"" N","157°49'13"" W",360,185.9734513,47
48,2020,7,5,7.516666667,1,"21°28'31"" N","157°49'18"" W",12.85714286,167.6886793,48
49,2020,7,6,8.5,2,"21°29'3"" N","157°49'43"" W",25.71428571,176.9784173,49
50,2020,7,6,8.5,1,"21°28'42"" N","157°49'30"" W",25.71428571,176.9784173,50
51,2020,7,12,7,0,,,102.8571429,290.0244499,51
52,2020,7,16,7.116666667,6,"21°28'38"" N","157°49'33"" W",154.2857143,223.9400428,52
53,2020,7,16,7.116666667,1,"21°28'49"" N","157°49'35"" W",154.2857143,223.9400428,53
54,2020,7,16,7.116666667,1,"21°28'59"" N","157°49'42"" W",154.2857143,223.9400428,54
55,2020,8,1,7.5,4,"21°28'38"" N","157°49'26"" W",360,202.8507795,55
56,2020,8,7,7,2,"21°28'48"" N","157°49'33"" W",51.42857143,90.48913043,56
57,2020,8,13,6.666666667,4,"21°29'16"" N","157°49'39"" W",128.5714286,243.5714286,57
58,2020,8,13,6.666666667,3,"21°28'55"" N","157°49'38"" W",128.5714286,243.5714286,58
59,2020,8,13,6.666666667,1,"21°28'41"" N","157°49'29"" W",128.5714286,243.5714286,59
60,2020,8,14,7.316666667,2,"21°28'40"" N","157°49'32"" W",141.4285714,240.1260504,60
61,2020,8,14,7.316666667,2,"21°28'41"" N","157°49'31"" W",141.4285714,240.1260504,61
62,2020,8,14,7.316666667,4,"21°28'54"" N","157°49'38"" W",141.4285714,240.1260504,62
63,2020,8,14,7.316666667,1,"21°29'11"" N","157°49'45"" W",141.4285714,240.1260504,63
64,2020,8,14,7.316666667,1,"21°29'17"" N","157°49'47"" W",141.4285714,240.1260504,64
65,2020,8,15,6.25,7,"21°29'25"" N","157°49'45"" W",154.2857143,197.7631579,65
66,2020,8,15,6.25,3,"21°29'17"" N","157°49'41"" W",154.2857143,197.7631579,66
67,2020,8,15,6.25,2,"21°28'45"" N","157°49'33"" W",154.2857143,197.7631579,67
68,2020,8,16,6.75,6,"21°28'42"" N","157°49'31"" W",167.1428571,192.244898,68
69,2020,8,16,6.75,3,"21°29'15"" N","157°49'37"" W",167.1428571,192.244898,69
70,2020,8,16,6.75,3,"21°29'22"" N","157°49'47"" W",167.1428571,192.244898,70
71,2020,8,19,6.416666667,3,"21°28'46"" N","157°49'33"" W",205.7142857,127.5949367,71
72,2020,8,19,6.416666667,2,"21°29'5"" N","157°49'45"" W",205.7142857,127.5949367,72
73,2020,8,19,6.416666667,1,"21°28'42"" N","157°49'31"" W",205.7142857,127.5949367,73
74,2020,8,19,6.416666667,1,"21°29'9"" N","157°49'45"" W",205.7142857,127.5949367,74
75,2020,8,22,7.033333333,3,"21°28'41"" N","157°49'31"" W",244.2857143,76.57458562,75
76,2020,8,27,6.633333333,3,"21°29'24"" N","157°49'46"" W",308.5714286,244.1295547,76
77,2020,8,27,6.633333333,2,"21°28'56"" N","157°49'36"" W",308.5714286,244.1295547,77
78,2020,8,29,6.416666667,1,"21°28'34"" N","157°49'21"" W",334.2857143,196.6591422,78
79,2020,9,2,7.2,1,"21°28'55"" N ","157°49'53"" W",0,150.46875,79
80,2020,9,11,6.25,1,"21°28'22"" N","157°49'11"" W",115.7142857,253.9163498,80
81,2020,9,11,6.25,1,"21°29'16"" N","157°49'42"" W",115.7142857,253.9163498,81
82,2020,9,14,7,0,,,154.2857143,205.7142857,82
83,2020,9,23,6.733333333,1,"21°28'50"" N","157°49'35"" W",270,313.8202247,83
84,2020,9,23,6.733333333,1,"21°29'3"" N","157°49'42"" W",270,313.8202247,84
85,2020,9,26,6.35,1,"21°29'22"" N","157°49'38"" W",308.5714286,221.6629214,85
86,2020,9,30,7,0,,,360,165.0402145,86
87,2020,10,6,6.6,3,"21°28'26"" N","157°49'12"" W",64.28571429,45.82677168,87
88,2020,10,6,6.6,2,"21°28'8"" N","157°49'7"" W",64.28571429,45.82677168,88
89,2020,10,6,6.6,1,"21°28'38"" N","157°49'27"" W",64.28571429,45.82677168,89
90,2020,10,9,6.45,8,"21°28'18"" N","157°49'10"" W",102.8571429,305.8163265,90
91,2020,10,9,6.45,1,"21°28'40"" N","157°49'26"" W",102.8571429,305.8163265,91
92,2020,10,9,6.45,1,"21°28'32"" N","157°49'19"" W",102.8571429,305.8163265,92
93,2020,10,9,6.45,1,"21°28'24"" N","157°49'11"" W",102.8571429,305.8163265,93
94,2020,10,11,7.566666667,3,"21°28'41"" N","157°49'28"" W",128.5714286,276.4146868,94
95,2020,10,11,7.566666667,2,"21°28'32"" N","157°49'16"" W",128.5714286,276.4146868,95
96,2020,10,11,7.566666667,1,"21°28'32"" N","157°49'20"" W",128.5714286,276.4146868,96
97,2020,10,11,7.566666667,1,"21°28'15"" N","157°49'8"" W",128.5714286,276.4146868,97
98,2020,10,14,6.6,3,"21°28'20"" N","157°49'10"" W",167.1428571,181.4516129,98
99,2020,10,14,6.6,1,"21°28'11"" N","157°49'10"" W",167.1428571,181.4516129,99
100,2020,10,15,6.783333333,2,"21°28'12"" N","157°49'9"" W",180,162.6737968,100
101,2020,10,15,6.783333333,1,"21°28'22"" N","157°49'11"" W",180,162.6737968,101
102,2020,10,17,7.3,1,"21°28'29"" N ","157°49'12"" W",205.7142857,130.7368421,102
103,2020,10,22,7.216666667,2,"21°28'10"" N","157°49'18"" W",270,340.296846,103
104,2020,10,24,16.13333333,3,"21°28'27"" N","157°49'12"" W",295.7142857,124.8447204,104
105,2020,10,24,16.13333333,2,"21°28'40"" N","157°49'30"" W",295.7142857,124.8447204,105
106,2020,10,24,16.13333333,1,"21°28'14"" N","157°49'16"" W",295.7142857,124.8447204,106
107,2020,10,25,8.433333333,1,"21°28'48"" N","157°49'34"" W",308.5714286,288.6792453,107
108,2020,10,31,6.833333333,1,"21°28'40"" N","157°49'32"" W",0,129.5238095,108
109,2020,11,1,8.533333333,1,"21°28'34"" N","157°49'21"" W",12.85714286,160.3125,109
110,2020,11,5,6.7,3,"21°28'15"" N","157°49'8"" W",64.28571429,10.87613293,110
111,2020,11,5,6.7,1,"21°28'11"" N","157°49'11"" W",64.28571429,10.87613293,111
